"record_id","reporting_period_id","reporting_period_label","reporting_period_end","reporting_grain","division","district","geography_label","reporting_units","includes_city_reporting_unit","management_priority","delivery_status","qa_status","overall_attention_status","attention_sort","attention_flag","cross_file_review_status","cross_file_review_flag","facilities","facilities_history","facility_count_gap","trainers","anc_sessions","pnc_sessions","scanu_sessions","general_medicine_sessions","general_surgery_sessions","ncd_sessions","total_sessions_quarter","expected_quarter_sessions","benchmark_session_gap","benchmark_session_gap_rate","total_patients","total_caregivers","total_participants","expected_quarter_participants","sessions_vs_target_rate","qa_coverage_rate","sessions_per_facility","participants_per_session","facilities_per_trainer","patient_share_rate","caregiver_share_rate","target_weighted_numerator","qa_weighted_numerator","any_monitoring_anomaly","threshold_note"
"CURRENT_RANGPUR_THAKURGAON","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Rangpur","Thakurgaon","Thakurgaon, Rangpur, Division",1,FALSE,"Routine monitoring","On track","Watch","Watch",2,1,"Review required",1,5,9,-4,3,39,35,11,32,29,10,156,134.372454,21.627546,0.160952229093025,203,382,585,3356.658441,0.921,0.67,31.2,3.75,1.66666666666667,0.347008547008547,0.652991452991453,143.676,3.35,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_RAJSHAHI_RAJSHAHI","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Rajshahi","Rajshahi","Rajshahi, Rajshahi, Division",1,FALSE,"Routine monitoring","On track","Watch","Watch",2,1,"Review required",1,8,14,-6,4,58,79,20,24,12,8,201,261.196554,-60.196554,-0.230464579559499,311,510,821,6407.628006,0.928,0.667,25.125,4.08457711442786,2,0.378806333739342,0.621193666260658,186.528,5.336,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_RAJSHAHI_NATORE","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Rajshahi","Natore","Natore, Rajshahi, Division",1,FALSE,"Routine monitoring","On track","Watch","Watch",2,1,"Review required",1,14,9,5,3,54,91,33,36,13,28,255,203.559336,51.440664,0.252705992320588,354,617,971,4353.100431,0.935,0.629,18.2142857142857,3.8078431372549,4.66666666666667,0.364572605561277,0.635427394438723,238.425,8.806,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_DHAKA_FARIDPUR","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Dhaka","Faridpur","Faridpur, Dhaka, Division",1,FALSE,"Priority division","On track","Watch","Watch",2,1,"Review required",1,6,11,-5,3,52,64,16,36,26,28,222,165.435111,56.564889,0.341915864522858,412,424,836,3769.643724,0.951,0.773,37,3.76576576576577,2,0.492822966507177,0.507177033492823,211.122,4.638,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_CHATTOGRAM_COXSBAZAR","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Chattogram","Cox's Bazar","Cox's Bazar, Chattogram, Division",1,FALSE,"Priority division","On track","Watch","Watch",2,1,"Review required",1,6,9,-3,3,38,38,8,40,19,21,164,139.326225,24.673775,0.177093544305819,242,398,640,2225.452173,0.959,0.708,27.3333333333333,3.90243902439024,2,0.378125,0.621875,157.276,4.248,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_KHULNA_MEHERPUR","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Khulna","Meherpur","Meherpur, Khulna, Division",1,FALSE,"Routine monitoring","On track","Watch","Watch",2,1,"Review required",1,7,4,3,4,81,34,25,29,31,17,217,130.42857,86.57143,0.663745910884402,378,502,880,3737.185713,0.979,0.657,31,4.05529953917051,1.75,0.429545454545455,0.570454545454545,212.443,4.599,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_SYLHET_SUNAMGANJ","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Sylhet","Sunamganj","Sunamganj, Sylhet, Division",1,FALSE,"Routine monitoring","On track","Strong","On track",3,0,"Review required",1,8,15,-7,3,53,23,19,12,18,23,148,276.880158,-128.880158,-0.465472711843801,234,261,495,6464.62143,0.868,0.805,18.5,3.3445945945946,2.66666666666667,0.472727272727273,0.527272727272727,128.464,6.44,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_CHATTOGRAM_BANDARBAN","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Chattogram","Bandarban","Bandarban, Chattogram, Division",1,FALSE,"Priority division","On track","Strong","On track",3,0,"Review required",1,11,8,3,3,45,39,8,17,9,23,141,120.35049,20.64951,0.171578113225796,277,371,648,1779.580881,0.875,0.805,12.8181818181818,4.59574468085106,3.66666666666667,0.427469135802469,0.572530864197531,123.375,8.855,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_KHULNA_NARAIL","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Khulna","Narail","Narail, Khulna, Division",1,FALSE,"Routine monitoring","On track","Strong","On track",3,0,"Review required",1,7,4,3,3,45,22,13,52,16,7,155,53.728572,101.271428,1.8848710142529,149,315,464,1682.62857,0.89,0.847,22.1428571428571,2.99354838709677,2.33333333333333,0.321120689655172,0.678879310344828,137.95,5.929,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_RAJSHAHI_JOYPURHAT","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Rajshahi","Joypurhat","Joypurhat, Rajshahi, Division",1,FALSE,"Routine monitoring","On track","Strong","On track",3,0,"Review required",1,16,6,10,7,74,70,78,42,36,58,358,74.925,283.075,3.77811144477811,603,648,1251,1803.9,0.894,0.852,22.375,3.49441340782123,2.28571428571429,0.482014388489209,0.517985611510791,320.052,13.632,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_CHATTOGRAM_BRAHMANBARIA","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Chattogram","Brahmanbaria","Brahmanbaria, Chattogram, Division",1,FALSE,"Priority division","On track","Strong","On track",3,0,"Review required",1,8,10,-2,3,50,84,16,20,10,11,191,191.361798,-0.361797999999993,-0.00189064904166501,251,338,589,3997.206417,0.903,0.838,23.875,3.08376963350785,2.66666666666667,0.426146010186757,0.573853989813243,172.473,6.704,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_DHAKA_RAJBARI","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Dhaka","Rajbari","Rajbari, Dhaka, Division",1,FALSE,"Priority division","On track","Strong","On track",3,0,"Review required",1,16,6,10,7,65,80,19,80,26,23,293,130.437171,162.562829,1.24629220147683,467,516,983,3432.515064,0.905,0.875,18.3125,3.35494880546075,2.28571428571429,0.475076297049847,0.524923702950153,265.165,14,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_SYLHET_SYLHET","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Sylhet","Sylhet","Sylhet, Sylhet, Division",1,FALSE,"Routine monitoring","On track","Strong","On track",3,0,"Review required",1,10,18,-8,5,33,39,13,16,34,27,162,442.003566,-280.003566,-0.633487119875409,150,386,536,10570.789284,0.909,0.9,16.2,3.30864197530864,2,0.279850746268657,0.720149253731343,147.258,9,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_MYMENSINGH_JAMALPUR","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Mymensingh","Jamalpur","Jamalpur, Mymensingh, Division",1,FALSE,"Routine monitoring","On track","Strong","On track",3,0,"Review required",1,7,9,-2,4,33,25,2,6,12,8,86,250.316598,-164.316598,-0.65643508785622,125,234,359,6670.385229,0.91,0.829,12.2857142857143,4.17441860465116,1.75,0.348189415041783,0.651810584958217,78.26,5.803,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_KHULNA_BAGERHAT","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Khulna","Bagerhat","Bagerhat, Khulna, Division",1,FALSE,"Routine monitoring","On track","Strong","On track",3,0,"Review required",1,7,13,-6,4,24,26,4,13,24,9,100,165.566484,-65.566484,-0.396013023988599,189,191,380,3608.410029,0.922,0.916,14.2857142857143,3.8,1.75,0.497368421052632,0.502631578947368,92.2,6.412,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_BARISHAL_BHOLA","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Barishal","Bhola","Bhola, Barishal, Division",1,FALSE,"Priority division","On track","Strong","On track",3,0,"Review required",1,11,8,3,4,32,51,9,24,15,21,152,175.176282,-23.176282,-0.132302625306319,205,253,458,5793.535257,0.938,0.904,13.8181818181818,3.01315789473684,2.75,0.447598253275109,0.552401746724891,142.576,9.944,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_KHULNA_JASHORE","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Khulna","Jashore","Jashore, Khulna, Division",1,FALSE,"Routine monitoring","On track","Strong","On track",3,0,"Review required",1,11,9,2,5,65,32,26,45,34,44,246,126.475605,119.524395,0.945039124343386,400,416,816,2898.399351,1,0.827,22.3636363636364,3.31707317073171,2.2,0.490196078431373,0.509803921568627,246,9.097,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_BARISHAL_PATUAKHALI","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Barishal","Patuakhali","Patuakhali, Barishal, Division",1,FALSE,"Priority division","On track","Strong","On track",3,0,"Review required",1,5,10,-5,4,74,53,14,30,12,36,219,287.794518,-68.7945179999999,-0.23904040451528,236,508,744,7256.531577,1,0.846,43.8,3.3972602739726,1.25,0.317204301075269,0.682795698924731,219,4.23,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_RANGPUR_NILPHAMARI","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Rangpur","Nilphamari","Nilphamari, Rangpur, Division",1,FALSE,"Routine monitoring","On track","Strong","On track",3,0,"Review required",1,6,9,-3,4,71,61,28,33,22,13,228,354.415788,-126.415788,-0.356687800826751,176,520,696,11116.537596,1,0.863,38,3.05263157894737,1.5,0.252873563218391,0.747126436781609,228,5.178,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
